Herkunftsland,Country of origin,Kontinent,Continent,Anzahl,,Geocoordinates,Formatted Address
Österreich,Austria,Europa,Europe,187,,"47.516231,14.550072",Austria
China,China,Asien,Asia,83,,"35.86166,104.195397",China
Deutschland,Germany,Europa,Europe,20,,"51.165691,10.451526",Germany
Indien,India,Asien,Asia,9,,"20.593684,78.96288",India
Ägypten,Egypt,Afrika,Africa,6,,"26.820553,30.802498",Egypt
Ungarn,Hungary,Europa,Europe,3,,"47.162494,19.5033041",Hungary
Rumänien,Romania,Europa,Europe,2,,"45.943161,24.96676",Romania
Kroatien,Croatia,Europa,Europe,2,,"45.1,15.2000001",Croatia
Taiwan,Taiwan,Asien,Asia,2,,"23.69781,120.960515",Taiwan
Schweiz,Switzerland,Europa,Europe,1,,"46.818188,8.227511999999999",Switzerland
Vereinigtes Königreich,United Kingdom,Europa,Europe,1,,"55.378051,-3.435973",United Kingdom
Serbien,Serbia,Europa,Europe,1,,"44.016521,21.005859",Serbia
Polen,Poland,Europa,Europe,1,,"51.919438,19.145136",Poland
Bosnien-Herzegovina,Bosnia and Herzegovina,Europa,Europe,1,,"43.915886,17.679076",Bosnia and Herzegovina
Italien,Italy,Europa,Europe,1,,"41.87194,12.56738",Italy
Lettland,Latvia,Europa,Europe,1,,"56.879635,24.603189",Latvia
Türkei,Turkey,Asien,Asia,1,,"38.963745,35.243322",Turkey
Iran,Iran,Asien,Asia,1,,"32.427908,53.688046",Iran
Spanien,Spain,Europa,Europe,1,,"40.46366700000001,-3.74922",Spain
Marokko,Morocco,Afrika,Africa,1,,"31.791702,-7.092619999999999",Morocco
Bulgarien,Bulgaria,Europa,Europe,1,,"42.733883,25.48583",Bulgaria
Slowakei,Slovakia,Europa,Europe,1,,"48.669026,19.699024",Slovakia
Jordanien,Jordan,Asien,Asia,1,,"30.585164,36.238414",Jordan
